Algorithm,Board,Compute Time,Solution Path Length,Visited States Count
BFS,data/Rushhour6x6_1.csv,0.10719709296245128,34,588
DFS,data/Rushhour6x6_1.csv,0.03478968399576843,141,397
ASTAR,data/Rushhour6x6_1.csv,0.06525437498930842,34,365
BFS,data/Rushhour6x6_2.csv,0.7996230450225994,28,3829
DFS,data/Rushhour6x6_2.csv,0.05806648696307093,218,861
ASTAR,data/Rushhour6x6_2.csv,0.5427084660041146,28,2897
BFS,data/Rushhour6x6_3.csv,1.835568988986779,82,8677
DFS,data/Rushhour6x6_3.csv,0.4993451579939574,1447,5711
ASTAR,data/Rushhour6x6_3.csv,1.7966712990310043,82,8516

